No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10562    85.7794    55.9080    -305.486       -305.486      477452532.83      781.40396      781.40396      781.40396
     10564    85.7816    55.9069    -305.387       -305.387      477582179.15      781.47361      781.47361      781.47361
     10566    85.7838    55.8963    -305.275       -305.275      477710909.24      781.54278      781.54278      781.54278
     10568    85.7860    55.8952    -305.163       -305.163      477839194.19      781.61169      781.61169      781.61169
     10570    85.7881    55.8940    -305.048       -305.048      477967450.66      781.68058      781.68058      781.68058
     10572    85.7903    55.8929    -304.923       -304.923      478096458.55      781.74984      781.74984      781.74984
     10574    85.7925    55.8918    -304.797       -304.797      478223573.08      781.81810      781.81810      781.81810
     10576    85.7946    55.8907    -304.674       -304.674      478349636.36      781.88580      781.88580      781.88580
     10578    85.7968    55.8896    -304.579       -304.579      478476009.92      781.95364      781.95364      781.95364
     10580    85.7991    55.8885    -304.483       -304.483      478602645.52      782.02161      782.02161      782.02161
     10582    85.8013    55.8874    -304.397       -304.397      478729258.13      782.08954      782.08954      782.08954
     10584    85.8034    55.8768    -304.312       -304.312      478855003.54      782.15702      782.15702      782.15702
     10586    85.8056    55.8757    -304.228       -304.228      478980903.50      782.22455      782.22455      782.22455
     10588    85.8078    55.8746    -304.139       -304.139      479106744.17      782.29204      782.29204      782.29204
     10590    85.8100    55.8640    -304.053       -304.053      479231731.68      782.35907      782.35907      782.35907
     10592    85.8121    55.8724    -303.989       -303.989      479355688.67      782.42556      782.42556      782.42556
     10594    85.8143    55.8712    -303.894       -303.894      479479481.12      782.49194      782.49194      782.49194
     10596    85.8165    55.8701    -303.815       -303.815      479604215.36      782.55879      782.55879      782.55879
     10598    85.8187    55.8690    -303.725       -303.725      479728968.34      782.62564      782.62564      782.62564
     10600    85.8209    55.8679    -303.650       -303.650      479853356.70      782.69229      782.69229      782.69229
     10602    85.8230    55.8668    -303.578       -303.578      479978118.50      782.75911      782.75911      782.75911
