No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10554    85.9968    54.7186    -302.681       -302.681      595632441.67      765.46978      759.74878      1023.67757
     10556    85.9990    54.7272    -302.631       -302.631      595763139.24      765.52513      759.80372      1023.75159
     10558    86.0011    54.7263    -302.586       -302.586      595895028.94      765.58097      759.85913      1023.82626
     10560    86.0032    54.7254    -302.546       -302.546      596027887.95      765.63719      759.91494      1023.90145
     10562    86.0053    54.7340    -302.501       -302.501      596160554.01      765.69332      759.97065      1023.97652
     10564    86.0074    54.7425    -302.428       -302.428      596295398.30      765.75034      760.02724      1024.05277
     10566    86.0095    54.7511    -302.378       -302.378      596429597.92      765.80707      760.08355      1024.12864
     10568    86.0116    54.7597    -302.325       -302.325      596564419.32      765.86406      760.14011      1024.20485
     10570    86.0137    54.7588    -302.255       -302.255      596699260.25      765.92104      760.19667      1024.28105
     10572    86.0158    54.7579    -302.203       -302.203      596834413.59      765.97814      760.25334      1024.35741
     10574    86.0180    54.7664    -302.143       -302.143      596971367.86      766.03596      760.31073      1024.43474
     10576    86.0201    54.7750    -302.088       -302.088      597111127.02      766.09492      760.36925      1024.51359
     10578    86.0223    54.7835    -302.046       -302.046      597251691.86      766.15420      760.42809      1024.59286
     10580    86.0244    54.7732    -301.982       -301.982      597391287.29      766.21307      760.48652      1024.67159
     10582    86.0265    54.7817    -301.881       -301.881      597532227.33      766.27248      760.54548      1024.75104
     10584    86.0287    54.7808    -301.782       -301.782      597673276.44      766.33193      760.60448      1024.83054
     10586    86.0308    54.7799    -301.699       -301.699      597815268.07      766.39174      760.66385      1024.91053
     10588    86.0329    54.7790    -301.639       -301.639      597957677.51      766.45171      760.72338      1024.99073
     10590    86.0351    54.7875    -301.582       -301.582      598101263.42      766.51216      760.78337      1025.07156
