No. moves  % accept.       <E_tot>         <E_sr>
     11226    49.7364        -7025.515       -7025.515
     11228    49.7364        -7025.466       -7025.466
     11230    49.7361        -7025.458       -7025.458
     11232    49.7360        -7025.438       -7025.438
     11234    49.7361        -7025.414       -7025.414
     11236    49.7361        -7025.396       -7025.396
     11238    49.7359        -7025.425       -7025.425
     11240    49.7358        -7025.392       -7025.392
     11242    49.7359        -7025.329       -7025.329
     11244    49.7359        -7025.292       -7025.292
     11246    49.7360        -7025.212       -7025.212
     11248    49.7360        -7025.139       -7025.139
     11250    49.7360        -7025.069       -7025.069
     11252    49.7360        -7024.976       -7024.976
     11254    49.7361        -7024.932       -7024.932
     11256    49.7364        -7024.843       -7024.843
     11258    49.7365        -7024.816       -7024.816
     11260    49.7366        -7024.802       -7024.802
     11262    49.7367        -7024.769       -7024.769
     11264    49.7368        -7024.722       -7024.722
     11266    49.7368        -7024.662       -7024.662
     11268    49.7369        -7024.609       -7024.609
     11270    49.7369        -7024.608       -7024.608
     11272    49.7368        -7024.577       -7024.577
     11274    49.7368        -7024.554       -7024.554
     11276    49.7368        -7024.533       -7024.533
     11278    49.7370        -7024.443       -7024.443
     11280    49.7369        -7024.405       -7024.405
     11282    49.7369        -7024.375       -7024.375
     11284    49.7368        -7024.372       -7024.372
     11286    49.7369        -7024.346       -7024.346
     11288    49.7370        -7024.330       -7024.330
     11290    49.7370        -7024.353       -7024.353
     11292    49.7370        -7024.330       -7024.330
     11294    49.7370        -7024.323       -7024.323
     11296    49.7370        -7024.354       -7024.354
     11298    49.7371        -7024.367       -7024.367
     11300    49.7370        -7024.371       -7024.371
     11302    49.7369        -7024.398       -7024.398
     11304    49.7370        -7024.420       -7024.420
     11306    49.7370        -7024.452       -7024.452
     11308    49.7370        -7024.489       -7024.489
     11310    49.7368        -7024.516       -7024.516
     11312    49.7368        -7024.536       -7024.536
     11314    49.7369        -7024.509       -7024.509
     11316    49.7367        -7024.479       -7024.479
